Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Member Type
0h 6m 40s,1/1/2014 0:56,14th & V St NW,31101,1/1/2014 1:03,11th & M St NW,31266,W20690,Registered
0h 5m 54s,1/1/2014 0:59,Washington Blvd & 7th St N,31032,1/1/2014 1:05,Virginia Square Metro / N Monroe St & 9th St N,31024,W00327,Casual
0h 7m 42s,1/1/2014 0:57,17th & Corcoran St NW,31214,1/1/2014 1:05,18th St & Wyoming Ave NW,31114,W21451,Registered
0h 5m 54s,1/1/2014 0:58,7th & R St NW / Shaw Library,31245,1/1/2014 1:04,17th & Corcoran St NW,31214,W20052,Registered
0h 10m 18s,1/1/2014 0:59,11th & K St NW,31263,1/1/2014 1:09,1st & Rhode Island Ave NW,31506,W20536,Registered
0h 10m 10s,1/1/2014 1:00,13th & H St NE,31611,1/1/2014 1:10,14th & D St SE,31607,W21034,Registered
0h 13m 5s,1/1/2014 1:00,16th & Harvard St NW,31103,1/1/2014 1:13,1st & Rhode Island Ave NW,31506,W21422,Registered
0h 4m 47s,1/1/2014 1:00,17th St & Massachusetts Ave NW,31267,1/1/2014 1:05,17th & K St NW / Farragut Square,31233,W20045,Registered
0h 6m 17s,1/1/2014 1:00,Arlington Blvd & Fillmore St,31070,1/1/2014 1:07,Columbia Pike & S Walter Reed Dr,31067,W00757,Registered
0h 2m 42s,1/1/2014 1:01,Lamont & Mt Pleasant NW,31107,1/1/2014 1:03,Park Rd & Holmead Pl NW,31602,W01433,Registered
0h 6m 21s,1/1/2014 1:01,Arlington Blvd & Fillmore St,31070,1/1/2014 1:07,Columbia Pike & S Walter Reed Dr,31067,W21302,Registered
0h 9m 15s,1/1/2014 1:01,Calvert St & Woodley Pl NW,31121,1/1/2014 1:10,Lamont & Mt Pleasant NW,31107,W20880,Registered
0h 4m 39s,1/1/2014 1:05,14th St & Spring Rd NW,31401,1/1/2014 1:10,Georgia & New Hampshire Ave NW,31400,W20705,Registered
0h 14m 22s,1/1/2014 1:05,10th & U St NW,31111,1/1/2014 1:20,4th & E St SW,31244,W20657,Registered
0h 6m 9s,1/1/2014 1:06,15th & P St NW,31201,1/1/2014 1:12,New Hampshire Ave & T St NW,31229,W20231,Registered
0h 10m 49s,1/1/2014 1:08,14th & V St NW,31101,1/1/2014 1:19,21st & M St NW,31212,W01465,Registered
0h 10m 15s,1/1/2014 1:09,New Hampshire Ave & T St NW,31229,1/1/2014 1:19,Lamont & Mt Pleasant NW,31107,W21310,Registered
0h 10m 23s,1/1/2014 1:09,14th & V St NW,31101,1/1/2014 1:19,21st & M St NW,31212,W21199,Registered
0h 9m 19s,1/1/2014 1:09,7th & T St NW,31109,1/1/2014 1:19,4th St & Rhode Island Ave NE,31500,W20903,Registered
0h 11m 37s,1/1/2014 1:10,11th & K St NW,31263,1/1/2014 1:21,10th & Florida Ave NW,31120,W20296,Registered
0h 0m 5s,1/1/2014 1:10,1st & Rhode Island Ave NW,31506,1/1/2014 1:10,1st & Rhode Island Ave NW,31506,W20536,Registered
0h 5m 11s,1/1/2014 1:12,14th & Rhode Island Ave NW,31203,1/1/2014 1:17,New Jersey Ave & R St NW,31509,W00529,Registered
0h 5m 1s,1/1/2014 1:12,L'Enfant Plaza / 7th & C St SW,31218,1/1/2014 1:17,6th & Water St SW / SW Waterfront,31609,W00716,Registered
0h 7m 12s,1/1/2014 1:12,Potomac & Pennsylvania Ave SE,31606,1/1/2014 1:20,19th & East Capitol St SE,31601,W00598,Registered
0h 0m 3s,1/1/2014 1:13,11th & M St NW,31266,1/1/2014 1:13,11th & M St NW,31266,W20690,Registered
0h 4m 19s,1/1/2014 1:13,L'Enfant Plaza / 7th & C St SW,31218,1/1/2014 1:17,6th & Water St SW / SW Waterfront,31609,W00621,Registered
0h 12m 47s,1/1/2014 1:13,8th & H St NW,31228,1/1/2014 1:26,15th & P St NW,31201,W20656,Registered
0h 4m 39s,1/1/2014 1:14,11th & M St NW,31266,1/1/2014 1:18,15th & P St NW,31201,W20690,Registered
0h 14m 15s,1/1/2014 1:14,37th & O St NW / Georgetown University,31236,1/1/2014 1:28,22nd & I St NW / Foggy Bottom,31257,W00792,Registered
0h 6m 51s,1/1/2014 1:14,17th & Corcoran St NW,31214,1/1/2014 1:21,14th & Belmont St NW,31119,W20574,Registered
0h 15m 53s,1/1/2014 1:16,14th & Harvard St NW,31105,1/1/2014 1:32,Eckington Pl & Q St NE,31505,W20095,Registered
0h 10m 15s,1/1/2014 1:17,Adams Mill & Columbia Rd NW,31104,1/1/2014 1:27,10th & U St NW,31111,W01373,Registered
0h 5m 26s,1/1/2014 1:18,14th & R St NW,31202,1/1/2014 1:23,17th St & Massachusetts Ave NW,31267,W21478,Registered
0h 3m 55s,1/1/2014 1:18,17th St & Massachusetts Ave NW,31267,1/1/2014 1:22,Massachusetts Ave & Dupont Circle NW,31200,W00702,Registered
0h 7m 6s,1/1/2014 1:20,18th St & Wyoming Ave NW,31114,1/1/2014 1:27,10th & U St NW,31111,W21473,Registered
0h 7m 18s,1/1/2014 1:20,18th St & Wyoming Ave NW,31114,1/1/2014 1:27,10th & U St NW,31111,W20723,Registered
0h 16m 52s,1/1/2014 1:20,Georgia & New Hampshire Ave NW,31400,1/1/2014 1:37,14th & R St NW,31202,W20705,Registered
0h 6m 17s,1/1/2014 1:21,10th & U St NW,31111,1/1/2014 1:27,New Hampshire Ave & T St NW,31229,W00201,Registered
0h 8m 8s,1/1/2014 1:22,Potomac & Pennsylvania Ave SE,31606,1/1/2014 1:30,13th & D St NE,31622,W21275,Registered
0h 10m 56s,1/1/2014 1:24,Thomas Circle,31241,1/1/2014 1:35,North Capitol St & G Pl NE,31637,W20888,Registered
0h 7m 44s,1/1/2014 1:25,Park Rd & Holmead Pl NW,31602,1/1/2014 1:32,Adams Mill & Columbia Rd NW,31104,W21594,Registered
0h 7m 20s,1/1/2014 1:27,16th & Harvard St NW,31103,1/1/2014 1:34,14th & R St NW,31202,W20710,Registered
0h 7m 8s,1/1/2014 1:27,Park Rd & Holmead Pl NW,31602,1/1/2014 1:34,New Hampshire Ave & T St NW,31229,W20677,Registered
0h 6m 22s,1/1/2014 1:27,7th & R St NW / Shaw Library,31245,1/1/2014 1:34,17th & Corcoran St NW,31214,W01375,Registered
0h 9m 38s,1/1/2014 1:27,11th & Kenyon St NW,31102,1/1/2014 1:37,13th & U St NW,31268,W20281,Registered
0h 10m 18s,1/1/2014 1:28,14th & Belmont St NW,31119,1/1/2014 1:39,Convention Center / 7th & M St NW,31223,W21413,Registered
0h 4m 51s,1/1/2014 1:29,19th & East Capitol St SE,31601,1/1/2014 1:34,15th & F St NE,31632,W20777,Registered
0h 4m 36s,1/1/2014 1:30,14th St & Spring Rd NW,31401,1/1/2014 1:34,14th & Harvard St NW,31105,W00241,Registered
0h 4m 31s,1/1/2014 1:31,Barton St & 10th St N,31050,1/1/2014 1:35,Clarendon Metro / Wilson Blvd & N Highland St,31022,W21408,Registered
0h 20m 53s,1/1/2014 1:32,18th St & Wyoming Ave NW,31114,1/1/2014 1:53,10th & U St NW,31111,W21644,Registered
0h 22m 2s,1/1/2014 1:34,13th & H St NE,31611,1/1/2014 1:56,6th & Water St SW / SW Waterfront,31609,W00135,Casual
0h 5m 9s,1/1/2014 1:34,15th & F St NE,31632,1/1/2014 1:39,8th & F St NE,31631,W01363,Registered
0h 5m 2s,1/1/2014 1:34,15th & F St NE,31632,1/1/2014 1:39,8th & F St NE,31631,W00628,Registered
0h 21m 34s,1/1/2014 1:34,13th & H St NE,31611,1/1/2014 1:55,6th & Water St SW / SW Waterfront,31609,W20807,Registered
0h 18m 21s,1/1/2014 1:35,14th & V St NW,31101,1/1/2014 1:53,M St & Delaware Ave NE,31627,W21227,Registered
0h 3m 0s,1/1/2014 1:37,10th & Monroe St NE,31504,1/1/2014 1:40,12th & Irving St NE,31511,W20177,Registered
0h 6m 29s,1/1/2014 1:37,Convention Center / 7th & M St NW,31223,1/1/2014 1:43,15th & P St NW,31201,W20815,Registered
0h 2m 49s,1/1/2014 1:37,10th & Monroe St NE,31504,1/1/2014 1:40,12th & Irving St NE,31511,W00727,Registered
0h 10m 56s,1/1/2014 1:37,N Randolph St & Fairfax Dr,31034,1/1/2014 1:48,N Veitch & Key Blvd,31028,W20653,Registered
0h 6m 47s,1/1/2014 1:37,6th & H St NE,31615,1/1/2014 1:44,8th & East Capitol St NE,31629,W01247,Registered
0h 6m 53s,1/1/2014 1:38,6th & H St NE,31615,1/1/2014 1:44,8th & East Capitol St NE,31629,W01301,Registered
0h 13m 12s,1/1/2014 1:38,Massachusetts Ave & Dupont Circle NW,31200,1/1/2014 1:51,Florida Ave & R St NW,31503,W01406,Registered
0h 6m 8s,1/1/2014 1:38,14th & V St NW,31101,1/1/2014 1:44,18th St & Wyoming Ave NW,31114,W01365,Registered
0h 4m 58s,1/1/2014 1:38,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,1/1/2014 1:43,4th & East Capitol St NE,31618,W01456,Registered
0h 5m 46s,1/1/2014 1:38,14th & V St NW,31101,1/1/2014 1:44,18th St & Wyoming Ave NW,31114,W20179,Registered
0h 5m 17s,1/1/2014 1:38,14th & Rhode Island Ave NW,31203,1/1/2014 1:44,11th & M St NW,31266,W01155,Registered
0h 4m 57s,1/1/2014 1:38,14th & Rhode Island Ave NW,31203,1/1/2014 1:43,11th & M St NW,31266,W00189,Registered
0h 7m 40s,1/1/2014 1:39,California St & Florida Ave NW,31116,1/1/2014 1:46,25th St & Pennsylvania Ave NW,31237,W00416,Registered
0h 19m 3s,1/1/2014 1:39,Georgetown Harbor / 30th St NW,31215,1/1/2014 1:58,M St & Delaware Ave NE,31627,W21477,Registered
0h 15m 13s,1/1/2014 1:40,17th & Corcoran St NW,31214,1/1/2014 1:55,3000 Connecticut Ave NW / National Zoo,31307,W20052,Registered
0h 5m 49s,1/1/2014 1:40,New Jersey Ave & R St NW,31509,1/1/2014 1:45,14th & R St NW,31202,W00529,Registered
0h 5m 47s,1/1/2014 1:40,New Jersey Ave & R St NW,31509,1/1/2014 1:45,14th & R St NW,31202,W00483,Registered
0h 5m 2s,1/1/2014 1:40,11th & Kenyon St NW,31102,1/1/2014 1:45,14th & Harvard St NW,31105,W21096,Registered
0h 2m 16s,1/1/2014 1:41,17th & Corcoran St NW,31214,1/1/2014 1:43,New Hampshire Ave & T St NW,31229,W01375,Registered
0h 2m 31s,1/1/2014 1:41,17th & Corcoran St NW,31214,1/1/2014 1:43,New Hampshire Ave & T St NW,31229,W20871,Registered
0h 7m 42s,1/1/2014 1:41,17th & K St NW,31213,1/1/2014 1:49,New Hampshire Ave & T St NW,31229,W20616,Registered
0h 15m 8s,1/1/2014 1:41,1st & M St NE,31603,1/1/2014 1:57,3rd & Elm St NW,31118,W01468,Registered
0h 6m 6s,1/1/2014 1:42,11th & Kenyon St NW,31102,1/1/2014 1:48,3rd & Elm St NW,31118,W20551,Registered
0h 5m 53s,1/1/2014 1:43,Metro Center / 12th & G St NW,31230,1/1/2014 1:49,5th & K St NW,31600,W00175,Casual
0h 5m 53s,1/1/2014 1:43,Metro Center / 12th & G St NW,31230,1/1/2014 1:49,5th & K St NW,31600,W00955,Registered
0h 10m 33s,1/1/2014 1:44,13th & U St NW,31268,1/1/2014 1:55,5th & K St NW,31600,W21174,Registered
0h 14m 24s,1/1/2014 1:45,21st & M St NW,31212,1/1/2014 1:59,14th & Rhode Island Ave NW,31203,W21199,Registered
0h 6m 20s,1/1/2014 1:45,L'Enfant Plaza / 7th & C St SW,31218,1/1/2014 1:51,4th & M St SW,31108,W20232,Registered
0h 5m 18s,1/1/2014 1:47,19th & K St NW,31253,1/1/2014 1:52,Massachusetts Ave & Dupont Circle NW,31200,W01302,Registered
0h 7m 4s,1/1/2014 1:48,7th & T St NW,31109,1/1/2014 1:55,5th St & Massachusetts Ave NW,31265,W20195,Registered
0h 12m 17s,1/1/2014 1:49,Massachusetts Ave & Dupont Circle NW,31200,1/1/2014 2:01,7th & R St NW / Shaw Library,31245,W21053,Registered
0h 8m 49s,1/1/2014 1:50,8th & H St NW,31228,1/1/2014 1:58,Thomas Circle,31241,W20889,Registered
0h 7m 41s,1/1/2014 1:50,New Hampshire Ave & T St NW,31229,1/1/2014 1:58,10th & Florida Ave NW,31120,W20748,Registered
0h 16m 50s,1/1/2014 1:50,13th & H St NE,31611,1/1/2014 2:07,1st & M St NE,31603,W20369,Registered
0h 4m 21s,1/1/2014 1:51,Columbus Circle / Union Station,31623,1/1/2014 1:56,8th & F St NE,31631,W21578,Registered
0h 5m 45s,1/1/2014 1:52,20th & L St NW,31250,1/1/2014 1:58,20th St & Florida Ave NW,31110,W20134,Registered
0h 8m 13s,1/1/2014 1:53,15th & P St NW,31201,1/1/2014 2:01,20th St & Florida Ave NW,31110,W00708,Casual
0h 7m 57s,1/1/2014 1:53,13th & U St NW,31268,1/1/2014 2:01,Florida Ave & R St NW,31503,W20281,Registered
0h 29m 14s,1/1/2014 1:54,11th & Kenyon St NW,31102,1/1/2014 2:23,25th St & Pennsylvania Ave NW,31237,W20205,Registered
0h 4m 31s,1/1/2014 1:54,Columbus Circle / Union Station,31623,1/1/2014 1:59,8th & F St NE,31631,W20435,Registered
0h 10m 41s,1/1/2014 1:56,17th & K St NW / Farragut Square,31233,1/1/2014 2:07,19th St & Pennsylvania Ave NW,31100,W01183,Casual
0h 17m 31s,1/1/2014 1:56,15th & Euclid St  NW,31117,1/1/2014 2:14,3rd & H St NE,31616,W01204,Registered
0h 3m 6s,1/1/2014 1:56,Park Rd & Holmead Pl NW,31602,1/1/2014 1:59,14th St & Spring Rd NW,31401,W20742,Registered
0h 9m 21s,1/1/2014 1:57,17th & K St NW / Farragut Square,31233,1/1/2014 2:06,19th St & Pennsylvania Ave NW,31100,W21249,Casual
0h 10m 0s,1/1/2014 1:56,11th & H St NE,31614,1/1/2014 2:06,15th & East Capitol St NE,31630,W01222,Registered
0h 19m 43s,1/1/2014 1:57,1st & Rhode Island Ave NW,31506,1/1/2014 2:16,Eastern Market / 7th & North Carolina Ave SE,31610,W20320,Registered
0h 14m 35s,1/1/2014 1:57,Convention Center / 7th & M St NW,31223,1/1/2014 2:11,17th & Corcoran St NW,31214,W20121,Registered
0h 9m 59s,1/1/2014 1:57,15th & P St NW,31201,1/1/2014 2:07,7th & T St NW,31109,W01313,Registered
